"","CAP1","CAP2","dataset"
"CM",-0.291897892561999,0.264132444990365,"V4-total"
"unassessed",-0.765286646503678,0.586570512009338,"V4-total"
"parasite",0.683045073323536,-0.017835229823478,"V4-total"
"diatoms",-0.222607963205596,-0.457466006875089,"V4-total"
"protozooplankton",0.2642360379091,-0.473345863700064,"V4-total"
"GNCM",-0.0900005370394114,-0.0394726724470299,"V4-total"
"pSNCM",0.0329691910963746,-0.0542705272901594,"V4-total"
"temperature",0.537589634605747,0.836921925720138,"V4-total"
"salinity",0.276956070568324,0.508344544673682,"V4-total"
"nitrate",-0.152518695632276,-0.728127967846119,"V4-total"
