"","long","lat","comclust","temperature","NO3","salinity","dataset"
"1",-103.034,6.339,3,20.360945,15.325006,34.496784,"V9-micro"
"2",-73.0906,-34.1684,3,17.610083,NA,34.380467,"V9-micro"
"3",-71.2229,34.7942,5,19.435458,0.814183,36.542667,"V9-micro"
"4",-56.8047,-63.3815,5,-0.760158,NA,34.431858,"V9-micro"
"5",17.3171,37.5152,5,19.401,NA,38.243017,"V9-micro"
"6",-84.6236,0.1069,4,24.750353,7.829837,34.585225,"V9-micro"
"7",-135.018,-23.0731,3,24.227692,0,36.462367,"V9-micro"
"8",7.9026,43.3346,1,13.81295,NA,38.292336,"V9-micro"
"9",-16.9002,43.7421,3,NA,NA,NA,"V9-micro"
"10",-28.9989,36.15,5,17.260108,0.334082,36.23775,"V9-micro"
"11",-127.743,35.4,3,19.249733,0,33.099008,"V9-micro"
"12",-37.2369,35.8913,5,17.583075,0,36.3123,"V9-micro"
"13",-66.5655,32.9997,3,20.142658,0.992351,36.573008,"V9-micro"
"14",-72.7366,36.3385,3,22.550758,0,36.4108,"V9-micro"
"15",-152.548,-6.6344,4,26.91195,4.426062,35.539256,"V9-micro"
"16",-49.844,34.0639,3,18.871017,0.243619,36.423075,"V9-micro"
"17",-134.923,-23.0244,4,23.704717,0,36.5242,"V9-micro"
"18",2.8658,40.6769,1,13.2894,NA,38.777567,"V9-micro"
"19",-93.9597,-31.4424,5,22.413508,0,34.9278,"V9-micro"
"20",-52.9847,-64.3373,5,-0.56135,11.992437,33.167617,"V9-micro"
"21",-127.777,35.3915,3,13.518078,4.308643,33.269922,"V9-micro"
"22",-153.106,6.8381,5,28.299817,0,34.69215,"V9-micro"
"23",3.9679,38.002,1,17.07675,NA,37.50235,"V9-micro"
"24",-152.454,11.2521,3,27.53096,0,34.48717,"V9-micro"
"25",14.3033,36.253,1,NA,NA,NA,"V9-micro"
"26",-159.09,31.4794,3,14.804538,1.884199,34.378121,"V9-micro"
"27",-107.566,-28.2025,5,24.588533,1.908923,36.117883,"V9-micro"
"28",-153.702,0.008,5,26.21362,4.308856,35.11632,"V9-micro"
"29",-88.4275,25.5877,3,24.978822,0,36.191414,"V9-micro"
"30",-121.741,33.02,3,17.593567,0.132837,33.477367,"V9-micro"
"31",46.9706,-13.0781,3,28.910533,0.244232,34.932975,"V9-micro"
"32",-116.647,14.1927,4,26.4741,2.693519,33.867133,"V9-micro"
"33",-87.0839,-32.7954,3,21.181892,0,34.681925,"V9-micro"
"34",-9.6193,-9.28,5,23.775708,0,36.34975,"V9-micro"
"35",-76.9941,-39.5788,5,17.024275,NA,33.865392,"V9-micro"
"36",-134.928,-23.2318,5,24.118008,0,36.5031,"V9-micro"
"37",-159.09,31.4794,3,14.804538,1.884199,34.378121,"V9-micro"
"38",-107.566,-28.2025,5,24.588533,1.908923,36.117883,"V9-micro"
"39",-102.96,6.3199,3,26.641475,0.055451,33.342683,"V9-micro"
"40",56.8291,-21.4788,3,27.494342,0.244232,34.946567,"V9-micro"
"41",-9.6193,-9.28,5,23.775708,0,36.34975,"V9-micro"
"42",-66.9698,-57.7739,5,5.826408,NA,34.044933,"V9-micro"
"43",-127.743,35.4,3,19.249733,0,33.099008,"V9-micro"
"44",-52.2718,-44.5582,5,13.40034,3.3458,34.70996,"V9-micro"
"45",-135.031,-23.1571,5,23.790117,0,36.462792,"V9-micro"
"46",-159.067,31.4901,1,25.10765,0.022689,35.18785,"V9-micro"
"47",72.1573,-2.0461,2,30.202058,0,34.91215,"V9-micro"
"48",59.5043,-16.8083,4,28.272783,0,34.486167,"V9-micro"
"49",-158.072,22.7384,1,22.042004,0,35.279223,"V9-micro"
"50",-79.6299,29.7812,3,25.02544,0.448112,36.23844,"V9-micro"
"51",42.7415,-17.0244,4,27.271133,2.149334,35.05735,"V9-micro"
"52",-80.0621,9.8432,5,27.246567,0,34.971017,"V9-micro"
"53",-73.0906,-34.1684,3,17.610083,NA,34.380467,"V9-micro"
"54",-153.07,6.6261,3,28.299009,0.253489,34.788469,"V9-micro"
"55",14.3068,36.2749,3,NA,NA,NA,"V9-micro"
"56",-88.4388,25.5921,3,NA,NA,NA,"V9-micro"
"57",-52.9847,-64.3373,5,-0.56135,11.992437,33.167617,"V9-micro"
"58",-129.623,-23.2166,5,24.33538,1.237997,36.4506,"V9-micro"
"59",-79.6437,29.7902,3,25.049571,0.417502,36.245586,"V9-micro"
"60",-116.647,14.1927,5,26.4741,2.693519,33.867133,"V9-micro"
"61",-79.317,7.4169,2,26.649108,0,28.91985,"V9-micro"
"62",-102.96,6.3199,3,26.641475,0.055451,33.342683,"V9-micro"
"63",-134.933,-23.1107,4,23.791908,0,36.514942,"V9-micro"
"64",-49.3273,-62.14,5,0.758658,28.881967,34.351058,"V9-micro"
"65",40.0193,-22.3369,3,25.080167,0,35.324825,"V9-micro"
"66",-129.623,-23.2166,5,24.33538,1.237997,36.4506,"V9-micro"
"67",-118.901,17.0552,3,24.790392,0.038247,34.5249,"V9-micro"
"68",-104.812,-21.1526,1,23.788833,0,36.129117,"V9-micro"
"69",-153.106,6.8381,5,28.299817,0,34.69215,"V9-micro"
"70",-134.924,-23.1594,3,24.060917,0,36.493267,"V9-micro"
"71",73.1611,-0.6625,2,30.12565,0.477267,35.111283,"V9-micro"
"72",12.8266,39.91,1,21.618192,NA,38.112625,"V9-micro"
"73",-88.4388,25.5921,3,NA,NA,NA,"V9-micro"
"74",-88.4275,25.5877,3,24.978822,0,36.191414,"V9-micro"
"75",-16.547,44.074,3,NA,NA,NA,"V9-micro"
"76",-52.0503,-40.6297,3,20.273933,0,35.923225,"V9-micro"
"77",-95.0153,6.48,4,26.248692,3.618212,33.184517,"V9-micro"
"78",-134.961,-23.2229,5,24.266583,0,36.494958,"V9-micro"
"79",-16.8544,43.6904,3,14.28065,2.999226,35.986042,"V9-micro"
"80",-153.807,0.0396,4,26.082554,4.234637,35.132908,"V9-micro"
"81",-101.19,-29.6954,3,23.799133,0,35.766117,"V9-micro"
"82",-84.5992,-1.9778,4,23.8683,6.729337,35.0193,"V9-micro"
"83",73.4856,4.66,2,29.961808,0,34.496083,"V9-micro"
"84",-152.548,-6.6344,5,26.91195,4.426062,35.539256,"V9-micro"
"85",3.9718,38.0017,1,23.87265,NA,37.5808,"V9-micro"
"86",-153.07,6.6261,4,28.299009,0.253489,34.788469,"V9-micro"
