"","type","comclust","avg","mean_relab_clust","relab_adjusted","dataset"
"1","CM",1,0.151367612126672,0.106841052005584,0.0445265601210884,"V9-micro"
"2","CM",2,0.126315839795157,0.106841052005584,0.0194747877895729,"V9-micro"
"3","CM",3,0.0996536983301229,0.106841052005584,-0.00718735367546104,"V9-micro"
"4","CM",4,0.0880724063818049,0.106841052005584,-0.018768645623779,"V9-micro"
"5","CM",5,0.0687957033941626,0.106841052005584,-0.0380453486114213,"V9-micro"
"6","GNCM",1,0.00037246546339075,0.000569664039461039,-0.000197198576070289,"V9-micro"
"7","GNCM",2,0.000747671734508271,0.000569664039461039,0.000178007695047232,"V9-micro"
"8","GNCM",3,0.000187717503082982,0.000569664039461039,-0.000381946536378057,"V9-micro"
"9","GNCM",4,0.00144646380181413,0.000569664039461039,0.000876799762353088,"V9-micro"
"10","GNCM",5,9.40016945090639e-05,0.000569664039461039,-0.000475662344951975,"V9-micro"
"11","eSNCM",1,0.116925001858989,0.191249042375657,-0.0743240405166675,"V9-micro"
"12","eSNCM",2,0.141364262148088,0.191249042375657,-0.0498847802275688,"V9-micro"
"13","eSNCM",3,0.237678813657044,0.191249042375657,0.046429771281387,"V9-micro"
"14","eSNCM",4,0.19933998350344,0.191249042375657,0.00809094112778316,"V9-micro"
"15","eSNCM",5,0.260937150710723,0.191249042375657,0.0696881083350661,"V9-micro"
"16","unassessed",1,0.230206031339799,0.169495340752337,0.0607106905874617,"V9-micro"
"17","unassessed",2,0.195407322546515,0.169495340752337,0.0259119817941776,"V9-micro"
"18","unassessed",3,0.180504900782601,0.169495340752337,0.011009560030264,"V9-micro"
"19","unassessed",4,0.15651927441308,0.169495340752337,-0.0129760663392572,"V9-micro"
"20","unassessed",5,0.0848391746796913,0.169495340752337,-0.084656166072646,"V9-micro"
"21","pSNCM",1,0.0550541447170936,0.0372739737240254,0.0177801709930681,"V9-micro"
"22","pSNCM",2,0.0447681314559357,0.0372739737240254,0.00749415773191026,"V9-micro"
"23","pSNCM",3,0.0490598968621424,0.0372739737240254,0.0117859231381169,"V9-micro"
"24","pSNCM",4,0.0231551565550089,0.0372739737240254,-0.0141188171690166,"V9-micro"
"25","pSNCM",5,0.0143325390299467,0.0372739737240254,-0.0229414346940787,"V9-micro"
"26","parasite",1,0.0625238321582197,0.0370283450720666,0.0254954870861531,"V9-micro"
"27","parasite",2,0.0364032686237196,0.0370283450720666,-0.000625076448346966,"V9-micro"
"28","parasite",3,0.0287639368862734,0.0370283450720666,-0.00826440818579319,"V9-micro"
"29","parasite",4,0.0452236337736065,0.0370283450720666,0.0081952887015399,"V9-micro"
"30","parasite",5,0.0122270539185137,0.0370283450720666,-0.0248012911535529,"V9-micro"
"31","diatoms",1,0.0347429909582103,0.117980165035382,-0.0832371740771716,"V9-micro"
"32","diatoms",2,0.137053699566968,0.117980165035382,0.0190735345315858,"V9-micro"
"33","diatoms",3,0.0546885248408255,0.117980165035382,-0.0632916401945564,"V9-micro"
"34","diatoms",4,0.189365054856489,0.117980165035382,0.0713848898211075,"V9-micro"
"35","diatoms",5,0.174050554954417,0.117980165035382,0.0560703899190347,"V9-micro"
"36","protozooplankton",1,0.348807921377625,0.339562416995487,0.009245504382138,"V9-micro"
"37","protozooplankton",2,0.317939804129109,0.339562416995487,-0.021622612866378,"V9-micro"
"38","protozooplankton",3,0.349462511137908,0.339562416995487,0.00990009414242077,"V9-micro"
"39","protozooplankton",4,0.296878026714756,0.339562416995487,-0.0426843902807309,"V9-micro"
"40","protozooplankton",5,0.384723821618037,0.339562416995487,0.0451614046225501,"V9-micro"
