"","type","comclust","avg","mean_relab_clust","relab_adjusted","dataset"
"1","CM",1,0.0940375306800999,0.116882578092869,-0.0228450474127693,"V9-total"
"2","CM",2,0.0580629800822019,0.116882578092869,-0.0588195980106672,"V9-total"
"3","CM",3,0.146597985028075,0.116882578092869,0.0297154069352063,"V9-total"
"4","CM",4,0.143765077875912,0.116882578092869,0.0268824997830424,"V9-total"
"5","CM",5,0.141949316798057,0.116882578092869,0.0250667387051877,"V9-total"
"6","GNCM",1,0.00132996051345075,0.00123377087444399,9.61896390067568e-05,"V9-total"
"7","GNCM",2,3.07965970992069e-06,0.00123377087444399,-0.00123069121473407,"V9-total"
"8","GNCM",3,0.00320275486760604,0.00123377087444399,0.00196898399316205,"V9-total"
"9","GNCM",4,0.000917598287054074,0.00123377087444399,-0.000316172587389918,"V9-total"
"10","GNCM",5,0.000715461044399176,0.00123377087444399,-0.000518309830044815,"V9-total"
"11","eSNCM",1,0.0825279488311569,0.0492988918828941,0.0332290569482628,"V9-total"
"12","eSNCM",2,0.0507126549039855,0.0492988918828941,0.00141376302109142,"V9-total"
"13","eSNCM",3,0.00914667924851758,0.0492988918828941,-0.0401522126343765,"V9-total"
"14","eSNCM",4,0.0601434746304706,0.0492988918828941,0.0108445827475765,"V9-total"
"15","eSNCM",5,0.0439637018003399,0.0492988918828941,-0.00533519008255422,"V9-total"
"16","unassessed",1,0.207624227710602,0.204165095087256,0.00345913262334574,"V9-total"
"17","unassessed",2,0.149695291942521,0.204165095087256,-0.0544698031447358,"V9-total"
"18","unassessed",3,0.202175365828898,0.204165095087256,-0.00198972925835855,"V9-total"
"19","unassessed",4,0.2345510239817,0.204165095087256,0.0303859288944436,"V9-total"
"20","unassessed",5,0.226779565972561,0.204165095087256,0.022614470885305,"V9-total"
"21","pSNCM",1,0.00186242092191562,0.00171697621285042,0.000145444709065207,"V9-total"
"22","pSNCM",2,0.00165468999042063,0.00171697621285042,-6.22862224297861e-05,"V9-total"
"23","pSNCM",3,0.00200989594842976,0.00171697621285042,0.000292919735579343,"V9-total"
"24","pSNCM",4,0.00180668934166045,0.00171697621285042,8.97131288100338e-05,"V9-total"
"25","pSNCM",5,0.00125118486182562,0.00171697621285042,-0.000465791351024798,"V9-total"
"26","parasite",1,0.191927055281064,0.165312979315946,0.0266140759651184,"V9-total"
"27","parasite",2,0.211436251061514,0.165312979315946,0.0461232717455686,"V9-total"
"28","parasite",3,0.081479209302855,0.165312979315946,-0.0838337700130908,"V9-total"
"29","parasite",4,0.158522267251086,0.165312979315946,-0.00679071206486015,"V9-total"
"30","parasite",5,0.18320011368321,0.165312979315946,0.017887134367264,"V9-total"
"31","diatoms",1,0.0192197676925803,0.0665853673972742,-0.0473655997046939,"V9-total"
"32","diatoms",2,0.00717516896128759,0.0665853673972742,-0.0594101984359866,"V9-total"
"33","diatoms",3,0.208889336151719,0.0665853673972742,0.142303968754445,"V9-total"
"34","diatoms",4,0.0249781174682355,0.0665853673972742,-0.0416072499290388,"V9-total"
"35","diatoms",5,0.072664446712549,0.0665853673972742,0.00607907931527481,"V9-total"
"36","protozooplankton",1,0.40147108836913,0.394804341136466,0.00666674723266436,"V9-total"
"37","protozooplankton",2,0.521259883398359,0.394804341136466,0.126455542261894,"V9-total"
"38","protozooplankton",3,0.3464987736239,0.394804341136466,-0.0483055675125663,"V9-total"
"39","protozooplankton",4,0.375315751163882,0.394804341136466,-0.0194885899725838,"V9-total"
"40","protozooplankton",5,0.329476209127058,0.394804341136466,-0.0653281320094077,"V9-total"
